DWA_ID_dup,Finance,V1,pct,AIOE
4.A.2.a.1.I04.D04,Finance,3.60301724137931,0.0132493046682744,6.27200547855352
4.A.2.a.1.I05.D03,Hors finance,3.67836538461538,0.00749766853320954,6.01162525008928
4.A.2.a.1.I05.D04,Hors finance,3.695,0.00184874018627084,5.81143066769675
4.A.2.a.1.I06.D02,Hors finance,3.975625,0.00677871401632643,6.19481649027442
4.A.2.a.1.I06.D03,Hors finance,3.62666666666667,0.0104761943888681,6.03184462828417
4.A.2.a.1.I06.D04,Hors finance,3.782,0.0114005644820035,6.26506804866475
4.A.2.a.1.I06.D05,Hors finance,3.085,0.00390289594879401,5.88725203435668
4.A.2.a.1.I07.D01,Finance,3.19916666666667,0.0382072971829308,6.53270484517328
4.A.2.a.1.I07.D02,Hors finance,3.69916666666667,0.00647059065194796,6.35312728812182
4.A.2.a.1.I07.D03,Finance,3.64555555555556,0.00708683738070491,6.51836013559673
4.A.2.a.1.I07.D06,Hors finance,3.838,0.571979672074574,6.63453033673209
4.A.2.a.1.I07.D07,Hors finance,3.80839285714286,0.00462185046567711,6.38486911327696
4.A.2.a.1.I07.D08,Hors finance,3.58764705882353,0.304117760641554,6.59196702578936
4.A.2.a.1.I08.D01,Hors finance,3.18285714285714,0.128179319581445,6.57514106509754
4.A.2.a.1.I09.D02,Finance,3.66647058823529,0.0460130890805188,6.6513842176648
4.A.2.a.1.I09.D03,Finance,3.47796296296296,0.022082174447124,6.45630390495612
4.A.2.a.1.I10.D01,Hors finance,3.55,0.00554622055881253,6.54777580505816
4.A.2.a.2.I01.D01,Finance,3.5986,0.00215686355064932,6.52148910008444
4.A.2.a.2.I01.D02,Hors finance,3.89574074074074,0.00883286977884959,5.78064844918311
4.A.2.a.2.I01.D04,Finance,3.71888888888889,0.00246498691502779,6.46788351894384
4.A.2.a.2.I01.D05,Finance,3.536,0.0126330579395174,6.59469314269128
4.A.2.a.2.I01.D06,Hors finance,3.37823529411765,0.00944911650760654,6.66419163342618
4.A.2.a.2.I01.D07,Hors finance,3.69857142857143,0.0228011289640071,6.27553653364384
4.A.2.a.2.I01.D08,Finance,3.5209375,0.00852474641447112,6.52619438628878
4.A.2.a.2.I01.D09,Finance,3.63898148148148,0.0187955252270869,6.41506940091461
4.A.2.a.2.I02.D01,Hors finance,3.36409090909091,0.00585434392319101,6.10834320578026
4.A.2.a.2.I02.D04,Hors finance,3.06611111111111,0.00451914267755095,5.34515973265824
4.A.2.a.2.I02.D06,Hors finance,2.96571428571429,0.00595705171131717,5.89721967881364
4.A.2.a.2.I03.D01,Finance,3.62473684210526,0.0083193308382188,6.48048736640906
4.A.2.a.2.I03.D02,Hors finance,3.596875,0.758497015311677,6.45549290534478
4.A.2.a.2.I03.D03,Finance,3.48831081081081,0.386489406718733,6.43257404096713
4.A.2.a.2.I03.D04,Hors finance,3.02339285714286,0.0836041395346926,6.57745834974948
4.A.2.a.2.I03.D05,Hors finance,3.17642857142857,0.00698412959257875,6.38603757610914
4.A.2.a.2.I03.D06,Hors finance,3.093,0.0931559638304253,6.3769963753387
4.A.2.a.2.I04.D01,Hors finance,3.53138888888889,0.00944911650760654,6.28168275189668
4.A.2.a.2.I04.D03,Finance,3.765,0.00328664922003706,6.21469173364151
4.A.2.a.2.I05.D01,Hors finance,4.035,0.0336881545053798,5.84081527327997
4.A.2.a.2.I05.D03,Finance,3.53,0.0148926292782929,6.46481684607698
4.A.2.a.2.I05.D04,Hors finance,4.41,0.00154061682189237,6.07242584857542
